# (c) Der Bundeswahlleiter, Wiesbaden 2017
# 
# Wahl zum 19. Deutschen Bundestag (24. September 2017)
# Endgültige Ergebnisse der Erst- und Zweitstimmen sowie der Vorperiode nach Wahlkreisen
# 
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;Christlich Demokratische Union Deutschlands;;;;Sozialdemokratische Partei Deutschlands;;;;DIE LINKE;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Christlich-Soziale Union in Bayern e.V.;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Piratenpartei Deutschland;;;;Nationaldemokratische Partei Deutschlands;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Ökologisch-Demokratische Partei;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Bayernpartei;;;;Ab jetzt...Demokratie durch Volksabstimmung;;;;Partei der Vernunft;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Bürgerrechtsbewegung Solidarität;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;DIE RECHTE;;;;Allianz Deutscher Demokraten;;;;Allianz für Menschenrechte, Tier- und Naturschutz;;;;bergpartei, die überpartei;;;;Bündnis Grundeinkommen;;;;DEMOKRATIE IN BEWEGUNG;;;;Deutsche Kommunistische Partei;;;;Deutsche Mitte;;;;Die Grauen – Für alle Generationen;;;;Die Urbane. Eine HipHop Partei;;;;Magdeburger Gartenpartei;;;;Menschliche Welt;;;;Partei der Humanisten;;;;Partei für Gesundheitsforschung;;;;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;;Bündnis C - Christen für Deutschland;;;;DIE EINHEIT;;;;Die Violetten;;;;Familien-Partei Deutschlands;;;;Feministische Partei DIE FRAUEN;;;;Mieterpartei;;;;Neue Liberale – Die Sozialliberalen;;;;UNABHÄNGIGE für bürgernahe Demokratie;;;;Übrige;;;;
66;Altmark;15;165625;172378;165625;172378;111193;107895;111193;107895;1738;1857;1330;1678;109455;106038;109863;106217;35644;44686;36022;44655;20900;18616;18721;20196;20973;32164;20346;26180;3738;2998;3648;3542;;;;;7388;1489;7838;2278;18031;;18419;3826;;2541;;1997;;2613;662;2227;1567;931;888;722;;;;;;;;147;;;970;;;;;;;;;;;;;;;;118;141;;;;;;;;;;;;;;;;;;;1218;;;;;;;;304;;;;242;;;;;;;;;;;;;;;;;;;;467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1214;;;306;
67;Börde – Jerichower Land;15;220786;228139;220786;228139;150499;141814;150499;141814;4551;2976;2411;2488;145948;138838;148088;139326;55110;61890;47566;60207;29174;32118;24053;27279;29616;29759;24555;30235;3540;3611;4236;4281;;;;;11080;3686;11413;3995;;;27905;5380;;4224;;2556;9619;;1330;2903;7809;2854;2074;1630;;;;;;;;232;;;1313;;;;;;;;;;;;;;;;151;170;;;;;;;;;;;;;;;;;;;2137;;;;;;;;358;;;;213;;;;;;;;;;;;;;;;;;;;784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;696;;458;
68;Harz;15;215607;224917;215607;224917;143567;132539;143567;132539;2439;2595;2036;2340;141128;129944;141531;130199;51386;59779;47574;56619;24767;24875;22915;24407;27104;29860;25069;29875;4462;4928;4968;4716;;;;;6923;1852;9902;2961;22792;;23860;4924;;2556;;2255;;3304;868;2651;3253;1111;1648;929;;1679;;;;;;293;;;1344;;;;;;;;;;;;;;441;;184;136;;;;;;;;;;;;;;;;;;;2176;;;;;;;;365;;;;213;;;;;;;;;;;;;;;;;;;;445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;
69;Magdeburg;15;238060;244267;238060;244267;162894;154404;162894;154404;2338;2836;2117;2378;160556;151568;160777;152026;44021;55046;44616;56982;34877;38153;27513;31763;30299;38231;30056;36473;6417;6073;8564;8490;;;;;10796;2090;12713;3687;24509;;26051;6355;;4153;;3654;765;2786;937;2272;1739;1875;1282;1256;;2758;;;;;;348;;;2504;;;;;;;;;;;;;;461;403;294;280;;;;;;;;;;;;;;;;;4102;;3254;;;;;;;;528;;;;793;;;;;;;;;;;;;;;;;;2570;;1672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;466;
70;Dessau – Wittenberg;15;177005;185954;177005;185954;123466;120805;123466;120805;2067;1836;1722;1758;121399;118969;121744;119047;42781;53048;38751;50633;14806;20545;17360;20354;22086;26015;21102;27136;5607;5196;4299;4703;;;;;6051;1489;8940;2892;23520;5575;24327;6050;;2053;;2160;1165;2814;1205;2799;3717;2234;2006;1728;;;;;;;;145;;;1094;;;;;;;;;;;;;;;;127;120;;;;;;;;;;;;;;;;;;;1572;;;;;;;;364;;;;168;;;;;;;;;;;;;;;;;;;;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1666;;;327;
71;Anhalt;15;224401;236732;224401;236732;147946;140667;147946;140667;2754;2714;2407;2498;145192;137953;145539;138169;45843;56514;44620;57357;18687;21244;20289;23224;30757;39715;25887;35425;2854;2884;3455;3572;;;;;9213;2778;10848;3556;32281;6314;32349;6635;;1720;;2200;1029;3450;1204;3516;3976;2945;2197;1848;;;;;;;;164;;;1111;;;;;;;;;;;;;;552;389;289;283;;;;;;;;;;;;;;;;;;;2186;;;;;;;;334;;;;185;;;;;;;;;;;;;;;;;;;;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;389;
72;Halle;15;214668;219667;214668;219667;152467;143332;152467;143332;2192;2185;2173;2042;150275;141147;150294;141290;40690;51206;39833;53265;32053;32957;21196;25259;30530;36006;28892;34449;5475;5286;10457;10185;;;;;10131;2958;13533;4418;26018;4768;26727;5879;;2898;;3599;;1987;764;2134;2607;1307;1449;1147;;;;;;;;297;2186;;2896;;;;;;;;;;;;;;585;449;372;317;;;;;;;;;;;;;;;;;;;2330;;;;;;;;780;;;;683;;;;;;;;;;;;;;;;;;;;382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1325;;341;
73;Burgenland – Saalekreis;15;191636;201043;191636;201043;131219;123809;131219;123809;2304;2170;2007;1962;128915;121639;129212;121847;43254;54544;38678;52194;16930;18791;17098;19850;21819;31300;21042;28933;3198;4760;3366;3732;;;;;8538;1879;10132;3374;30112;;31781;5234;;2488;;2097;1569;4854;1470;3920;3495;2581;1687;1695;;;;;;;;192;;;1127;;;;;;;;;;;;;;;;134;151;;;;;;;;;;;;;;;;;;;1768;;;;;;;;315;;;;207;;;;;;;;;;;;;;;;;;;;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;442;;475;
74;Mansfeld;15;207103;217783;207103;217783;140223;132983;140223;132983;2566;2572;2291;2289;137657;130411;137932;130694;42725;54705;39751;53869;20864;23560;19835;22399;24863;35982;23909;33613;3647;3193;3250;3637;;;;;11091;2458;11236;3837;32864;;32982;5378;;3123;;2235;1217;4277;1297;3478;;2232;1161;1403;;;;;;;;160;;;1195;;;;;;;;;;;;;;;;178;200;;;;;;;;;;;;;;;;;;;2074;;;;;;;;414;;;;204;;;;;;;;;;;;;;;;;;;;446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;386;881;;485;
15;Sachsen-Anhalt;99;1854891;1930880;1854891;1930880;1263474;1198248;1263474;1198248;22949;21741;18494;19433;1240525;1176507;1244980;1178815;401454;491418;377411;485781;213058;230859;188980;214731;238047;299032;220858;282319;38938;38929;46243;46858;;;;;81211;20679;96555;30998;210127;16657;244401;49661;;25756;;22753;15364;26085;9737;25900;28163;18070;14392;12358;;4437;;;;;;1978;2186;;13554;;;;;;;;;;;;;;2039;1241;1847;1798;;;;;;;;;;;;;;;;;4102;;18715;;;;;;;;3762;;;;2908;;;;;;;;;;;;;;;;;;2570;;5617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3266;3344;;3680;
;
75;Berlin-Mitte;11;206706;204085;206706;204085;151412;141574;151412;141574;2341;2282;1969;2174;149071;139292;149443;139400;27654;33265;27861;31544;35036;39360;26788;36403;30492;23200;32118;26068;26781;25687;25708;23329;;;;;9017;2088;12972;5134;11782;4212;12289;5443;;5463;1229;6608;;1363;;1234;648;239;336;304;;;1777;;715;;272;319;5342;1856;3811;1686;;;;;;;;;;;;;360;202;172;145;203;217;77;144;275;;66;76;;;;;;;;;;;;;;;100;;;;836;;;;919;;;261;167;;;;372;;;;492;;;;294;;;;;;;;254;;;;;;;;260;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;766;1879;;963;
76;Berlin-Pankow;11;237071;235344;237071;235344;188499;175061;188499;175061;2186;2414;1847;2237;186313;172647;186652;172824;36429;41295;36994;40617;30509;36180;29185;38030;53618;48926;43774;43472;26376;25442;26651;24300;;;;;7890;1581;12321;4380;22487;7088;23315;8372;;5860;870;6767;;2872;;2597;1339;861;692;665;;;2477;;950;;429;416;5810;2220;4613;1984;;;;;;;;;;;;;;;148;146;451;322;126;182;;;49;124;;;;;;;;;;;;;;;97;;;;852;;;;1004;;;;261;;;;387;;;;936;;;;326;;;;;;;;323;;;;;;;;537;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;454;;;772;
77;Berlin-Reinickendorf;11;182398;182934;182398;182934;137240;133484;137240;133484;2380;2603;2135;2428;134860;130881;135105;131056;49654;58845;41912;52545;31882;38593;27071;34571;10384;8508;11516;10394;10647;8790;12305;11427;;;;;9688;2605;15376;5708;17738;5852;18513;7906;;3251;682;3417;;2254;;1976;;624;298;661;;;1938;;;;231;240;2828;865;1943;1074;;;;;;;;;;;;;;;83;44;400;;114;75;;;32;50;;;;;;;;;;;;;;;31;;;;319;;;;279;;;;44;;;;306;;1639;;1362;;;;165;;;;;;;;203;;;;;;;;247;;;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;694;;968;
78;Berlin-Spandau – Charlottenburg Nord;11;184608;187363;184608;187363;133009;130485;133009;130485;2435;2722;2262;2639;130574;127763;130747;127846;40372;50071;36712;46757;41965;47790;29733;36932;9861;9199;12780;12146;8031;5942;11063;10542;;;;;8292;1788;12927;4856;17551;5543;18481;7458;;4030;862;3960;;2022;;1815;;555;377;550;;;2147;;998;;386;224;3224;;2247;1038;;;;;;;;;;;;;280;;152;85;;270;59;164;;;33;55;;;;;;;;;;;;;;;21;;;;380;;;;310;;;;30;;;;331;;;;807;;;;175;;;;;;;;232;;;;;;;;294;;;;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;553;;1264;
79;Berlin-Steglitz-Zehlendorf;11;221210;220007;221210;220007;180720;175539;180720;175539;2347;2559;1763;2102;178373;172980;178957;173437;63085;73460;53281;64500;43801;50540;34279;44371;13392;9102;16352;12426;22712;20416;25361;23487;;;;;16159;4605;25461;11057;14549;7321;15824;9257;;4216;651;4358;;1165;;1016;;598;332;552;;;1846;;;;289;353;3681;1276;2143;1155;;;;;;;;;;;;;;;58;55;555;281;120;140;;;19;50;;;;;;;;;;;;;;;35;;;;456;;;;496;;;;55;;;;296;;;;609;;;;212;;;;;;;;240;;;;;;;;274;;;;268;;;;;;;;;;;;;;;;;;439;;;;;;;;;;;;;;;;;;;660;
80;Berlin-Charlottenburg-Wilmersdorf;11;198672;197797;198672;197797;158034;153420;158034;153420;1920;2086;1387;1755;156114;151334;156647;151665;47077;56079;40085;49285;43123;47619;30351;41058;14745;9368;18367;13446;21286;22176;24770;23324;;;;;14426;3801;23280;10347;11722;5649;12374;7276;;3657;693;3872;;754;;639;;478;203;457;;;1490;;;;222;242;3292;1057;2110;976;;;;;;;;;;;;;;;74;45;443;181;108;120;;;20;39;;;;;;;;;;;;;;;31;;;;443;;;;442;;;;46;;;;264;;;;454;;;;200;;;;;;;;199;;;;;;;;200;;;;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;515;;539;
81;Berlin-Tempelhof-Schöneberg;11;235250;235259;235250;235259;181159;177205;181159;177205;2493;3046;2078;2773;178666;174159;179081;174432;51708;60926;44721;55275;39380;45659;36179;47834;19356;12801;23625;17937;33763;35461;27956;26941;;;;;11362;2585;18569;7134;16188;6391;17108;7988;1691;5233;1179;5526;;1789;;1588;;905;373;759;;;2180;;;;274;342;3852;1494;2912;1578;;;;;;;;;;;;;;;113;73;403;348;127;221;197;;60;63;;;;;;;;;;;;;;;55;;;;601;;;;635;;;;94;;;;360;;;;793;;;;294;;;;;;766;;374;;;;;;;;250;;;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567;;1173;
82;Berlin-Neukölln;11;202618;205635;202618;205635;143553;140825;143553;140825;2448;3102;2140;2868;141105;137723;141413;137957;34593;42092;31592;40038;37777;44528;27520;36211;23204;16144;25752;19677;15480;16126;18446;19156;;;;;7255;1861;10891;4122;15105;4140;15904;5832;;6094;964;5654;262;3094;;2627;;794;220;689;;;2171;;;;208;255;5048;2420;3490;2060;;;;;;;;;;;;;294;208;196;143;260;222;111;126;;;30;80;;;;;;;;;;;;;;;83;;;;676;;;;724;;;;99;;;;366;;1191;;919;;;;335;;;;;;;;270;;;;;;;;248;;;;198;;;;;;;;;;;;;;;;;;;;;;636;;;;;;;;;;;;;;;1287;
83;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;223427;226240;223427;226240;173289;168048;173289;168048;1940;2317;1545;2358;171349;165731;171744;165690;20955;22723;23887;25474;29028;29799;27391;39784;42600;28441;49016;41639;45055;66056;35077;34420;;;;;5263;1647;10147;3579;10558;3325;10863;4623;;6317;1270;9612;;1291;;1140;627;515;323;477;;;2119;;;;281;426;12345;2666;6042;3142;;;;;;;;;;;;;305;;174;209;;108;53;86;;;37;126;;;;;;;;;;;;;672;624;304;;;;1046;;;;1282;;;;217;;;;334;;;;474;;772;;456;;;;;;;;324;;;;;;;;304;;;;323;;;;;;;;;;;457;;;;;;;;;;;;;;;;;;;;;;;3169;1762;;953;
84;Berlin-Treptow-Köpenick;11;205106;201629;205106;201629;157111;148406;157111;148406;1919;2187;1923;2125;155192;146219;155188;146281;29384;33036;31372;37170;21379;26093;24109;31204;61881;61661;39000;43118;7755;7344;12168;10787;;;;;5831;1429;10067;2904;23245;5788;26278;8106;;4205;843;5176;460;4039;;3795;1096;855;777;894;;;2283;;;;260;328;3521;1343;3873;1487;;;;;;;;;;;;;322;208;160;191;318;218;146;199;;;48;83;;;;;;;;;;;;;;;61;;;;511;;;;524;;;;193;;;;511;;;;852;;;;204;;;;;;;;263;;;;;;;;452;;;;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;839;
85;Berlin-Marzahn-Hellersdorf;11;200704;203968;200704;203968;138992;132817;138992;132817;2207;2078;2053;2085;136785;130739;136939;130732;30480;33552;28620;33947;17172;22341;19797;25103;46782;50866;35698;43026;4440;4071;5621;5068;;;;;4852;938;7290;2278;28167;6347;29618;8319;;3668;693;3996;696;5540;;5101;2010;717;899;752;;;2378;;;;160;202;;860;2216;1114;;;;;;;;;;;;;;;106;111;;239;95;181;;;43;102;;;;;;;;;;;;;;;20;;;;320;;;;328;;;;197;;;;336;;1470;;1398;;;;156;;;;;;;;227;;;;;;;;577;;;;146;;;;;;;;;;;;;;;;;;;;;;716;;;;;;;;;;;;;1600;;1432;
86;Berlin-Lichtenberg;11;205300;205457;205300;205457;149116;138551;149116;138551;2044;2259;1990;2150;147072;136292;147126;136401;28905;30988;27284;31491;20720;26636;21850;27886;51249;54932;43172;47158;8609;5748;9821;7956;;;;;5018;939;7745;2117;23119;5827;24603;7480;1314;4917;958;5072;533;3858;;3486;;997;524;771;;;2609;;;;194;265;4392;;3627;1379;;;;;;;;;;;;;282;;181;163;;231;62;172;;;36;117;;;;;;;;;;;;;;;73;;;;486;;;;524;;;;282;;;;349;;;;913;;;;215;;;;;;;;235;;;;;;1537;;1189;;;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1394;1219;;888;
11;Berlin;99;2503070;2505718;2503070;2505718;1892134;1815415;1892134;1815415;26660;29655;23092;27694;1865474;1785760;1869042;1787721;460296;536332;424321;508643;391772;455138;334253;439387;377564;333148;351170;330507;230935;243259;234947;220737;;;;;105053;25867;167046;63616;212211;67483;225170;88060;3005;56911;10894;64018;1951;30041;;27014;5720;8138;5354;7531;;;25415;;2663;;3206;3612;53335;16057;39027;18673;;;;;;;;;;;;;1843;618;1617;1410;3033;2637;1198;1810;472;;473;965;;;;;;;;;;;;;672;624;911;;;;6926;;;;7467;;;261;1685;;;;4212;;4300;;10009;;772;;3032;;;;;;766;;3144;;;;;;1537;;4832;;;;2733;;;;;;;;;;;457;;;;;;;439;;;;1352;;;;;;;;;;;;5783;8789;;11738;
;
87;Aachen I;5;179273;179933;179273;179933;140624;134447;140624;134447;1267;1476;823;1213;139357;132971;139801;133234;47011;54175;38827;48728;45309;46907;34663;36432;12282;8225;14459;10212;13104;11931;17918;17485;;;;;10232;2883;19795;8401;7817;2961;8271;4149;2176;4541;838;4669;;743;149;680;;605;251;555;;;697;;1426;;608;221;;;1595;784;;;;;;;67;137;;;;91;;;55;25;;;;17;;;18;14;;;;46;;;435;;;;;;;;;;;;182;;;;382;;;;28;;;;131;;;;;;;;;;;;;;;;;;;;191;;;;64;;;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;588;
88;Aachen II;5;228248;228375;228248;228375;173149;164576;173149;164576;1973;3027;1542;2308;171176;161549;171607;162268;62405;73621;52656;66328;63135;57635;60539;52897;8785;9418;10105;10538;7782;9096;8436;10220;;;;;11038;3827;19213;7948;15114;;14853;5337;1912;4543;806;3712;;2153;423;1697;;;351;551;;;1275;;1005;;488;213;;;817;719;;;;;;;133;338;;;;104;;;43;26;;;;30;;;5;30;;;;55;;;675;;;;;;;;;;;;135;;;;173;;;;15;;;;145;;;;;;;;;;;;;;;;;;;;78;;;;116;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1256;;1525;
89;Heinsberg;5;190051;188266;190051;188266;142330;134521;142330;134521;1726;2205;1440;1882;140604;132316;140890;132639;64121;70649;55605;65417;39301;37444;36421;34895;6424;5720;7909;6915;6964;7511;7281;7336;;;;;9334;2921;16111;6543;11652;3043;12313;4652;1272;3310;669;3019;;1718;457;1427;1536;;737;437;;;1179;;;;123;145;;;805;556;;;;;;;137;231;;;;112;;;46;18;;;;29;;;8;44;;;;26;;;368;;;;;;;;;;;;100;;;;149;;;;8;;;;119;;;;;;;;;;;;;;;;;;;;61;;;;134;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;837;
90;Düren;5;199675;199550;199675;199550;151595;145541;151595;145541;1757;2765;1461;2070;149838;142776;150134;143471;62711;71903;52412;63532;47543;48849;43816;42549;6611;7288;8809;8120;8235;6951;8198;8729;;;;;8788;2722;17155;7102;13404;;14432;5732;1420;4867;789;3478;;;411;1565;1126;;500;344;;;1293;;;;142;148;;;844;652;;;;;;;170;373;;;;122;;;32;31;;;;35;;;9;40;;;;46;;;392;;;;;;;;;;;;112;;;;133;;;;27;;;;117;;;;;;;;;;;;;;;;;;;;69;;;;143;;;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196;;873;
91;Rhein-Erft-Kreis I;5;248982;247721;248982;247721;191505;182970;191505;182970;2166;6195;1637;4235;189339;176775;189868;178735;74207;83598;63664;75521;58792;63676;50014;55089;8590;7820;11392;9266;10354;9822;12526;12264;;;;;17648;5390;27398;10235;17113;;18091;6660;2306;6469;1032;3865;;;426;1769;;;508;747;;;1505;;;;132;221;;;1263;691;;;;;;;238;407;;;;227;;;45;19;;;;46;;;16;44;;;;73;;;609;;;;;;;;;;;;158;;;;199;;;;17;;;;155;;;;;;;;;;;;;;;;;;;;131;;;;168;;;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329;;;1591;
92;Euskirchen – Rhein-Erft-Kreis II;5;246753;245268;246753;245268;187796;178218;187796;178218;2221;3940;1600;2747;185575;174278;186196;175471;79493;88759;66503;79055;48592;53703;43498;46982;10835;8166;11403;9075;10689;10066;12447;12544;;;;;18316;6101;27410;11611;17650;;18325;7183;;4894;666;3826;;2589;452;1702;;;607;576;;;1707;;;;175;213;;;1256;762;;;;;;;219;473;;;;210;;;55;35;;;;24;;;12;33;;;;20;;;304;;;;;;;;;;;;213;;;;206;;;;27;;;;200;;;;;;;;;;;;;;;;;;;;89;;;;205;;;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1147;
93;Köln I;5;192574;191277;192574;191277;139718;132837;139718;132837;1522;1445;1087;1235;138196;131392;138631;131602;43683;48232;36565;43863;42799;48632;33666;40759;11898;8583;15271;10709;13535;13513;15800;16056;;;;;10652;3243;18067;7235;11952;3885;12290;5367;;3361;689;3501;;1329;224;1032;;444;356;337;;;1068;;;;164;204;3369;;1905;883;;;;;;;136;208;;;;111;308;;155;73;;170;;61;;;16;31;;;;18;;;970;;;;;;;;;;;;233;;;;398;;;;38;;;;140;;;;;;;;;;;;;;;;;;;;150;;;;146;;;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1154;
94;Köln II;5;240985;233118;240985;233118;197979;184162;197979;184162;1218;1478;901;1143;196761;182684;197078;183019;68657;73011;56165;64909;52880;59975;38485;48190;15704;9521;21100;12689;28716;26426;30630;28642;;;;;17816;4762;33760;14871;9057;3839;9964;5955;;3677;634;4072;;783;107;596;;583;368;403;;;1072;;;;235;328;3689;;2322;1030;;;;;;;97;213;;;;96;242;;85;43;;107;;38;;;12;37;;;;10;;;350;;;;;;;;;;;;332;;;;582;;;;38;;;;153;;;;;;;;;;;;;;;;;;;;190;;;;105;;;;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;897;
95;Köln III;5;203647;201922;203647;201922;150629;141714;150629;141714;1531;1765;1104;1368;149098;139949;149525;140346;41106;45999;36500;42902;48148;55021;36849;44240;14431;10883;19118;12960;19621;18046;20973;20905;;;;;10599;3158;16850;6339;11249;;11731;4513;;4161;704;3789;;1750;202;1057;;728;317;405;;;1144;;;;176;263;3632;;2074;1041;;;;;;;136;248;;;;127;312;;126;57;;203;;59;;;12;34;;;;27;;;1156;;;;;;;;;;;;294;;;;468;;;;25;;;;170;;;;;;;;;;;;;;;;;;;;146;;;;141;;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1380;
96;Bonn;5;227583;226487;227583;226487;180439;175014;180439;175014;1498;2143;1231;1775;178941;172871;179208;173239;57330;64778;53334;62844;62377;65955;36119;44909;10193;7523;17133;10988;15056;14797;25197;23686;;;;;18724;10416;28113;14418;10882;4382;13136;7389;857;4113;663;4418;;;147;801;806;;412;309;;;684;;;;253;293;2617;907;1950;1079;;;;;;;107;197;;;;132;;;81;42;;;;25;;;22;21;;;;19;;;325;;;;;;;;;;;;312;;;;431;;;;30;;;;206;;;;;;;;;;;;;;;;;;;;211;;;;69;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;;;1669;
97;Rhein-Sieg-Kreis I;5;237415;234377;237415;234377;184295;172653;184295;172653;3732;2251;1538;1906;180563;170402;182757;170747;79987;84556;62334;74187;49988;50271;40922;46065;14684;7946;13038;9496;11762;10895;13757;14000;;;;;18768;4172;27267;10796;;5519;18237;7514;;3472;771;3771;;1618;300;1464;;803;509;534;;;1538;;;;233;238;;;1610;713;;;;;5374;1150;630;809;;;;138;;;73;18;;;;23;;;10;38;;;;20;;;374;;;;;;;;;;;;211;;;;237;;;;18;;;;178;;;;;;;;;;;;;;;;;;;;123;;;;181;;;;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;923;
98;Rhein-Sieg-Kreis II;5;216020;213791;216020;213791;174513;164635;174513;164635;1615;2190;1350;1725;172898;162445;173163;162910;80441;85058;61425;73860;39246;44098;34583;39571;9543;5445;11116;7433;13643;11732;15192;14122;;;;;14491;5058;30142;13468;14592;5058;15226;7362;;3151;596;3163;;1207;246;1091;;1040;457;585;;;1092;;;;216;270;;;1268;589;;;;;942;598;337;421;;;;115;;;42;18;;;;21;;;5;17;;;;10;;;159;;;;;;;;;;;;221;;;;213;;;;15;;;;178;;;;;;;;;;;;;;;;;;;;102;;;;123;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;794;
99;Oberbergischer Kreis;5;208418;209414;208418;209414;156593;150899;156593;150899;1962;1983;1559;1953;154631;148916;155034;148946;67603;77800;56567;67437;41305;44773;35078;40185;7999;6373;9887;8055;9489;7675;9995;10347;;;;;12123;3226;21353;8446;15648;4455;16413;7487;;2769;640;2849;;1491;328;1329;;;386;364;;;1238;;;;253;262;;;1099;629;;;;;;;204;363;;;;130;;;52;26;;;;18;;;9;32;;;;21;;;531;;;;;;;;;;;;153;;;;186;;;;16;;;;232;;;;;;;;;;;;;;;;;;;;91;;;;175;;;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;464;354;;966;
100;Rheinisch-Bergischer Kreis;5;217425;216414;217425;216414;174420;169131;174420;169131;2180;1527;1891;1411;172240;167604;172529;167720;68948;98017;61423;73278;42098;41894;36221;43721;8409;6884;11042;8473;11846;11472;15581;15113;;;;;27049;2937;28787;11676;12476;4713;13777;7945;;;505;3311;;1241;225;1149;1414;;802;463;;;1286;;;;231;265;;;1173;774;;;;;;;142;294;;;;153;;;43;30;;;;25;;;10;24;;;;28;;;296;;;;;;;;;;;;187;;;;205;;;;17;;;;175;;;;;;;;;;;;;;;;;;;;97;;;;132;;;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;446;;998;
101;Leverkusen – Köln IV;5;212212;214098;212212;214098;155139;150030;155139;150030;1619;2086;1428;1590;153520;147944;153711;148440;47272;58201;43175;52884;59373;61172;41671;48511;9430;8554;14284;10615;8722;10589;13472;14283;;;;;10114;3447;18719;7212;13408;;14970;5807;;;774;3816;;2450;352;1578;;1604;373;632;;;1153;;;;155;202;3990;1529;2102;993;;;;;;;192;315;;;;96;350;398;207;164;;;;30;;;28;23;;;;16;;;1007;;;;;;;;;;;;176;;;;265;;;;36;;;;164;;;;;;;;;;;;;;;;;;;;116;;;;126;;;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;861;;;1263;
102;Wuppertal I;5;208129;213132;208129;213132;149950;145925;149950;145925;1944;2520;1383;1987;148006;143405;148567;143938;43814;52427;39341;47470;46657;58407;38696;46638;13120;10992;16100;12499;10987;10198;12754;14318;;;;;12910;4314;18437;8198;16339;;16431;5989;1407;4264;839;3561;;2803;376;1620;;;320;440;;;1250;;;;183;202;2536;;1504;962;;;;;;;135;311;;;;126;236;;194;131;;;;19;;;12;37;;;;79;;;816;;;;;;;;;;;;202;;;;228;;;;46;;;;252;;;;;;;;;;;;;;;;;;;;151;;;;137;;;;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1338;
